canonical_player_id,player_name,current_team,opponent,game_id,roster_membership,expected_active_status,injury_flag,source_of_roster_identity,source_timestamp,duplicate_player_status,audit_status,reject_reason
242,DeWanna Bonner,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
285,Courtney Vandersloot,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
346,Skylar Diggins,CHI,LV,24969,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
373,Alyssa Thomas,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
408,Natasha Cloud,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
409,Elizabeth Williams,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
410,Chelsea Gray,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
418,Cheyenne Parker-Tyus,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
419,Betnijah Laney-Hamilton,NY,PHX,24970,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
424,Rebecca Allen,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
437,Jewell Loyd,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
448,Valeriane Ayayi,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
462,Kahleah Copper,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
465,Jonquel Jones,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
466,Rachel Banham,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
468,Breanna Stewart,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
483,Sami Whitcomb,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
502,Stephanie Talbot,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
525,Azura Stevens,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
535,A'ja Wilson,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
555,Brianna Turner,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
566,Han Xu,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
570,Jackie Young,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
582,Marine Johannes,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
591,Sabrina Ionescu,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
602,Satou Sabally,NY,PHX,24970,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
605,Chennedy Carter,LV,CHI,24969,NO,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,REJECTED,player_id_not_in_players_table
620,Dana Evans,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
626,DiJonai Carrington,CHI,LV,24969,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
631,Kiana Williams,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,current_team_mismatch_warning
633,Natasha Mack,PHX,NY,24970,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
636,Kierstan Bell,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
642,Anneli Maley,NY,PHX,24970,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
645,NaLyssa Smith,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
663,Rebekah Gardner,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
712,Leonie Fiebich,NY,PHX,24970,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
715,Julie Vanloo,NY,PHX,24970,NO,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,REJECTED,player_id_not_in_players_table
720,Rickea Jackson,CHI,LV,24969,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
725,Jacy Sheldon,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
726,Kamilla Cardoso,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
747,Kyara Linskens,PHX,NY,24970,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
751,Maddy Westbeld,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
765,Monique Akoa Makani,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
766,Lexi Held,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
774,Chloe Bibby,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
66925,Pauline Astier,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
66926,Raquel Carrera,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
