prop,stage,selected_candidate_distribution,raw_p_ll_onesided,raw_p_brier_onesided,holm_adjusted_p_ll,holm_adjusted_p_brier,selection_contract_pass,n,n_folds,model_logloss,market_logloss,logloss_delta,model_brier,market_brier,brier_delta,model_auc,market_auc,model_ece,market_ece,calibration_intercept,calibration_slope,model_crps_active_pmf,model_full_pmf_logscore,worst_fold_logloss_delta,monotone,candidate_id,advances
pts,SELECTED_outer_oof,"{""P3"": 591, ""S1"": 35}",0.8838232353529294,0.8910217956408718,1.0,1.0,False,626,14,0.6997520121277201,0.6920418443579266,0.007710167769793497,0.25322350712451197,0.24944983052825373,0.003773676596258241,0.4739090008072015,0.5264026402640265,0.030220797053191598,0.014467425575986584,-0.05333980781831134,0.11542024603335256,4.039540236791624,3.392510212137927,0.07640801743427283,,,
pts,CANDIDATE_P0,,,,,,,626,14,0.7553690599963472,0.6920418443579266,0.06332721563842059,0.27732564807593146,0.24944983052825373,0.027875817547677734,0.47407248464784557,0.5264026402640265,0.14870665896095833,0.014467425575986584,,,4.039540236791624,3.392510212137927,0.15497711557475802,True,,
pts,CANDIDATE_P1,,,,,,,626,14,0.6945000857208372,0.6920418443579266,0.002458241362910618,0.2506731998291484,0.24944983052825373,0.0012233693008946445,0.4763408229367828,0.5264026402640265,0.0221892668603044,0.014467425575986584,,,4.039540236791624,3.392510212137927,0.023271356841913615,False,,
pts,CANDIDATE_P2,,,,,,,626,14,0.6937407416953796,0.6920418443579266,0.001698897337452987,0.2502314150186316,0.24944983052825373,0.000781584490377879,0.5178350652402702,0.5264026402640265,0.032517995908271015,0.014467425575986584,,,4.039540236791624,3.392510212137927,0.02918081675588602,False,,
pts,CANDIDATE_P3,,,,,,,626,14,0.7190927093346589,0.6920418443579266,0.02705086497673226,0.2536367575062929,0.24944983052825373,0.004186926978039157,0.4532436215757799,0.5264026402640265,0.04728568365359911,0.014467425575986584,,,4.039540236791624,3.392510212137927,0.2593244114895079,True,,
pts,CANDIDATE_S1,,,,,,,626,14,0.7439263250840978,0.6920418443579266,0.051884480726171245,0.27199870252929664,0.24944983052825373,0.022548872001042913,0.5024880196998027,0.5264026402640265,0.1493163717853718,0.014467425575986584,,,4.039540236791624,3.392510212137927,0.2116138944060525,True,,
pts,CANDIDATE_S2,,,,,,,626,14,0.6945367580314478,0.6920418443579266,0.0024949136735211708,0.2506905802406653,0.24944983052825373,0.0012407497124115874,0.46538740561362635,0.5264026402640265,0.014756029864618436,0.014467425575986584,,,4.039540236791624,3.392510212137927,0.02594061164301853,False,,
pts,CANDIDATE_S3,,,,,,,626,14,0.6968099739698763,0.6920418443579266,0.004768129611949723,0.2517794248518192,0.24944983052825373,0.0023295943235654704,0.47703562925952037,0.5264026402640265,0.030486265367589777,0.014467425575986584,,,4.039540236791624,3.392510212137927,0.058028421900677474,False,,
pts,CANDIDATE_E1,,,,,,,134,3,0.6877321647475974,0.6872273149469388,0.0005048498006585689,0.247291654925639,0.24704339940478093,0.00024825552085808167,0.45203918888129413,0.6083390293916611,0.043231795608216494,0.07709899866131807,,,3.8348568792914954,3.324803596774364,0.024587889474087743,True,,
pts,STRUCTURAL_repair_platt,,,,,,,626,14,0.6945367580314478,0.6920418443579266,0.0024949136735211708,0.2506905802406653,0.24944983052825373,0.0012407497124115874,0.46538740561362635,0.5264026402640265,0.014756029864618436,0.014467425575986584,,,4.104649276110533,,0.02594061164301853,False,S_pts_opportunity_conversion,False
