fold,stat,family,rows,nll,crps,mean_mae,pit_ks,n_features,feature_hash
v5_2024_h1,pts,minutes_mixture_nb2,2067,2.9144609122590714,2.885730307758379,4.099187341542113,0.0847878920742494,77,afb4dd07c1d94070
v5_2024_h1,reb,minutes_mixture_nb2,2067,2.0786625703722934,1.23716620289444,1.8043819194541963,0.0388898210000928,71,666ac1e7d92fc87d
v5_2024_h1,ast,minutes_mixture_nb2,2067,1.6705229907346772,0.8255077876182579,1.216670999076636,0.0239586468135892,71,73ad4f27f820207a
v5_2024_h1,fg3m,minutes_mixture_nb2,2067,1.0812320428892264,0.4535029668192021,0.705703066486687,0.0267686386600688,73,47512bb66b58c50f
v5_2024_h1,stl,minutes_mixture_nb2,2067,1.1947111414893004,0.4768611103810734,0.7425116185779432,0.0265948884551424,70,920c6f532e283133
v5_2024_h1,blk,minutes_mixture_nb2,2067,0.8140628273523022,0.2956594793276408,0.4936221870497674,0.0259463054272118,68,a80a23b12e0b5463
v5_2024_h1,turnover,minutes_mixture_nb2,2067,1.4982251058888298,0.6739375592455674,1.0203913665295357,0.0305060585688086,67,0eb3b6b9a687b3ed
v5_2024_h2,pts,minutes_mixture_nb2,2650,2.9270211894324185,2.913291892077348,4.175301934113755,0.0822609698214221,77,afb4dd07c1d94070
v5_2024_h2,reb,minutes_mixture_nb2,2650,2.101343758961043,1.2637981164029504,1.8274050088738871,0.0355389862141129,71,666ac1e7d92fc87d
v5_2024_h2,ast,minutes_mixture_nb2,2650,1.6925047222549503,0.8328633845825906,1.2230944440162448,0.016039988117618,71,73ad4f27f820207a
v5_2024_h2,fg3m,minutes_mixture_nb2,2650,1.068823342637013,0.4474235820677962,0.7097153436752263,0.0273978654357585,73,47512bb66b58c50f
v5_2024_h2,stl,minutes_mixture_nb2,2650,1.159478868423989,0.4597211502113998,0.7373537724439455,0.033427636013099,70,920c6f532e283133
v5_2024_h2,blk,minutes_mixture_nb2,2650,0.8024568091940317,0.2907119985300175,0.4857471338550752,0.0264933544552241,68,a80a23b12e0b5463
v5_2024_h2,turnover,minutes_mixture_nb2,2650,1.4403387109629575,0.6238643619722447,0.9514540097125216,0.0355776683319963,67,0eb3b6b9a687b3ed
v5_2025_h1,pts,minutes_mixture_nb2,2058,2.9730057397005254,2.993760272849244,4.246064481562176,0.0726078283213054,77,afb4dd07c1d94070
v5_2025_h1,reb,minutes_mixture_nb2,2058,2.1097412382228056,1.2608643083421855,1.8169604231832428,0.0236273503594499,71,666ac1e7d92fc87d
v5_2025_h1,ast,minutes_mixture_nb2,2058,1.6500453085020792,0.813151403250006,1.209637223437393,0.0308058555535442,71,73ad4f27f820207a
v5_2025_h1,fg3m,minutes_mixture_nb2,2058,1.1383833906691678,0.4831073788135375,0.7598686095490275,0.0263987164620894,73,47512bb66b58c50f
v5_2025_h1,stl,minutes_mixture_nb2,2058,1.1704667578912484,0.4658478022874329,0.7337533745341135,0.0160541917027419,70,920c6f532e283133
v5_2025_h1,blk,minutes_mixture_nb2,2058,0.7803127330799178,0.2841469760208733,0.5032259951136824,0.0358225917276255,68,a80a23b12e0b5463
v5_2025_h1,turnover,minutes_mixture_nb2,2058,1.5058511723584058,0.674435905393088,1.0159638086677296,0.0371703600625132,67,0eb3b6b9a687b3ed
v5_2025_h2,pts,minutes_mixture_nb2,3811,2.9051114804096887,2.857226981884599,4.065062564119784,0.048499940136178,77,afb4dd07c1d94070
v5_2025_h2,reb,minutes_mixture_nb2,3811,2.0694299035715544,1.2244403264784165,1.7812669596641444,0.024196913253221,71,666ac1e7d92fc87d
v5_2025_h2,ast,minutes_mixture_nb2,3811,1.6562863161175334,0.82543231225981,1.2245963739198245,0.0149051141980141,71,73ad4f27f820207a
v5_2025_h2,fg3m,minutes_mixture_nb2,3811,1.1101511781139308,0.4704592422937173,0.7364019281935498,0.0116164695832277,73,47512bb66b58c50f
v5_2025_h2,stl,minutes_mixture_nb2,3811,1.127911547067594,0.4498117889320668,0.719277415373807,0.0106107982345997,70,920c6f532e283133
v5_2025_h2,blk,minutes_mixture_nb2,3811,0.7577253733771779,0.2760952583904615,0.4851842411486365,0.0159857544741256,68,a80a23b12e0b5463
v5_2025_h2,turnover,minutes_mixture_nb2,3811,1.4220699952303677,0.6143103671122744,0.9452904912672612,0.0451355902489595,67,0eb3b6b9a687b3ed
